Food Group,Estimate,ACM,CHD,Colorectal Cancer,Diabetes,Stroke,GHGs,Land,EP,AP,Water
Chicken,Lower CI,0.73,0.87,0.62,0.81,NA,5.2,14.57,7.26,5.11,0
Dairy,Lower CI,0.93,0.96,0.91,0.72,0.96,3.97,3.61,1.86,1.69,0.09
Eggs,Lower CI,0.99,0.95,0.89,0.91,0.93,1.88,4.79,1.91,1.3,0.04
Fish,Lower CI,0.88,0.79,0.85,0.86,0.75,4.2,0.38,9.4,2.34,0.83
Fruits,Lower CI,0.88,0.84,0.95,0.97,0.84,0.38,0.55,0.25,0.39,0
Legumes,Lower CI,0.73,0.78,0.78,0.55,0.68,0.47,4.26,0.21,0.31,0
Nuts,Lower CI,0.69,0.55,0.76,0.7,0.84,0,2.64,0.56,0.55,0.06
Potatoes,Lower CI,0.69,0.96,0.92,1.1,0.93,0.18,1.25,0.3,0.45,0
Processed meat,Lower CI,1.21,1.09,1.1,1.19,1.02,9.76,24.89,8.05,5.23,0.8
Red meat,Lower CI,1.05,1.08,1.06,1.03,1.06,19.52,49.78,16.11,10.45,1.6
Refined grains,Lower CI,0.97,0.99,NA,0.96,0.98,0.35,0.67,0.17,0.27,0
SSBs,Lower CI,0.91,1.11,0.97,1.1,1.02,0.22,0.64,0.25,0.17,0
Vegetables,Lower CI,0.84,0.87,0.96,0.95,0.82,0.31,0.34,0.27,0.34,0.16
Whole grains,Lower CI,0.89,0.92,0.93,0.83,0.95,0.35,0.67,0.17,0.27,0
Olive oil,Lower CI,0.86,0.86,NA,0.87,0.86,0.28,1.77,0.18,0.24,0
Chicken,Mean,0.9,1,0.78,1.06,NA,12.99,27.56,15.58,13.13,3.04
Dairy,Mean,0.98,0.99,0.93,0.87,0.98,8.29,40.38,6.81,5.13,8.49
Eggs,Mean,1.15,1,1.18,1.07,0.99,3.07,7.07,3.48,3.44,1.93
Fish,Mean,0.93,0.88,0.93,1.07,0.86,14.43,8.72,37.45,4.76,5.61
Fruits,Mean,0.89,0.86,0.97,0.99,0.86,1.06,2.59,0.85,0.71,1.64
Legumes,Mean,0.88,0.88,1,0.55,1,0.94,14.33,2.2,1.13,2.4
Nuts,Mean,0.76,0.67,0.96,0.79,0.99,0.59,7.16,1.53,1.28,9.57
Potatoes,Mean,0.88,1.03,1.05,1.18,0.98,0.91,2.98,1.67,0.74,0.89
Processed meat,Mean,1.41,1.27,1.17,1.32,1.17,21.78,113.27,26.79,13.35,8.12
Red meat,Mean,1.12,1.15,1.12,1.13,1.12,43.56,226.54,53.59,26.7,16.25
Refined grains,Mean,0.99,1.01,NA,0.98,1,1.07,2.26,1.7,0.71,2.37
SSBs,Mean,1.03,1.17,1.09,1.27,1.07,1,1.14,1.24,0.56,0.84
Vegetables,Mean,0.87,0.91,0.97,0.98,0.86,1,1,1,1,1
Whole grains,Mean,0.92,0.95,0.95,0.88,0.99,1.07,2.26,1.7,0.71,2.37
Olive oil,Mean,0.92,0.94,NA,0.91,0.9,0.71,5.93,1.19,0.48,3.81
Chicken,Upper  CI,1.11,1.15,0.94,1.35,NA,27.4,46.02,32.45,25.26,14.17
Dairy,Upper  CI,1.03,1.02,0.94,1.04,1,18.42,145.22,13.57,9.01,34.93
Eggs,Upper  CI,1.34,1.06,1.45,1.23,1.05,5.59,9.94,5.37,5.02,4.16
Fish,Upper  CI,0.98,0.99,1.01,1.35,0.99,44.28,26.65,76.91,13.99,25.76
Fruits,Upper  CI,0.9,0.88,0.99,1,0.88,2.35,8.02,1.92,1.24,9.46
Legumes,Upper  CI,1.03,1.03,1.26,1.45,1.44,2.07,37.38,6.54,1.85,12.94
Nuts,Upper  CI,0.84,1.05,1.21,0.9,1.17,3.26,13.82,3.24,2.85,33.05
Potatoes,Upper  CI,1.12,1.09,1.2,1.27,1.03,1.38,5.62,2.96,1.33,2.89
Processed meat,Upper  CI,1.45,1.45,1.23,1.45,1.34,49.29,279.59,111.98,38.64,21.54
Red meat,Upper  CI,1.21,1.23,1.19,1.23,1.17,98.57,559.17,223.96,77.28,43.07
Refined grains,Upper  CI,1.01,1.04,NA,1.01,1.01,2.35,5.94,6.88,1.71,11.98
SSBs,Upper  CI,1.18,1.23,1.22,1.45,1.12,1.72,1.97,3.13,0.95,2.14
Vegetables,Upper  CI,0.9,0.94,0.98,1.01,0.91,3.71,3.86,3.29,2.6,2.88
Whole grains,Upper  CI,0.95,0.98,0.97,0.93,1.03,2.35,5.94,6.88,1.71,11.98
Olive oil,Upper  CI,0.99,1.03,NA,0.95,0.95,1.42,8.19,1.96,0.79,13.32
